iter	Passed	Remaining
0	1	155
1	2	109
2	2	95
3	3	83
4	4	79
5	4	75
6	5	72
7	6	70
8	6	68
9	7	66
10	8	64
11	8	63
12	9	62
13	9	61
14	10	60
15	11	58
16	11	58
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	21	46
31	21	46
32	22	45
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	26	40
39	27	40
40	27	40
41	28	39
42	29	38
43	29	37
44	30	37
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
